clause_id,doc_id,title,text,category,impact,lgpd_refs,source_kind,source_package,source_excerpt_id,official_url,review_status
"X_PRIVACY_C001","X_PRIVACY","Account information required by X","Personal accounts. If you create an account, you must provide us with some information so that we can provide our services to you. This includes a display name, a username, a password, an email address or phone number, a date of birth, your display language, and third-party single sign-in information.","data_collection","high","Art. 5º, I; Art. 9º","official_selected_excerpt","data/corpus/x-privacy","X_PRIVACY_E001","https://x.com/en/privacy","manual_academic_review_v1"
"X_PRIVACY_C002","X_PRIVACY","How X uses collected information","We use the information we collect to provide and operate X products and services. We also use the information we collect to improve and personalize our products and services.","purpose_use","medium","Art. 6º, I; Art. 9º","official_selected_excerpt","data/corpus/x-privacy","X_PRIVACY_E002","https://x.com/en/privacy","manual_academic_review_v1"
"X_PRIVACY_C003","X_PRIVACY","Sharing information on X","You should know the ways we share your information, why we share it, and how you can control it. There are five general ways we share your information.","sharing_third_parties","high","Art. 18, VII","official_selected_excerpt","data/corpus/x-privacy","X_PRIVACY_E003","https://x.com/en/privacy","manual_academic_review_v1"
"X_PRIVACY_C004","X_PRIVACY","Retention periods on X","We keep different types of information for different periods of time, depending on how long we need to retain it in order to provide you with our products and services, to comply with our legal requirements and for safety and security reasons.","retention_storage","medium","Art. 15; Art. 16","official_selected_excerpt","data/corpus/x-privacy","X_PRIVACY_E004","https://x.com/en/privacy","manual_academic_review_v1"
"X_PRIVACY_C005","X_PRIVACY","Access, correction and portability on X","You can access, correct, or modify the information you provided to us by editing your profile and adjusting your account settings. You can download a copy of your information, such as your posts.","user_rights","high","Art. 18, I; Art. 18, V","official_selected_excerpt","data/corpus/x-privacy","X_PRIVACY_E005","https://x.com/en/privacy","manual_academic_review_v1"
"META_PRIVACY_C001","META_PRIVACY","Meta highlights collection, use and sharing","Nós, da Meta, queremos que você saiba quais informações coletamos e como as usamos e compartilhamos.","data_collection","high","Art. 5º, I; Art. 9º","official_selected_excerpt","data/corpus/meta-privacy","META_PRIVACY_E001","https://www.facebook.com/privacy/policy/","manual_academic_review_v1"
"META_PRIVACY_C002","META_PRIVACY","Meta policy explains retention and rights","Na Política de Privacidade, explicamos como coletamos, usamos, compartilhamos, retemos e transferimos informações. Explicamos também quais são seus direitos.","purpose_use","high","Art. 6º, I; Art. 9º; Art. 18","official_selected_excerpt","data/corpus/meta-privacy","META_PRIVACY_E002","https://www.facebook.com/privacy/policy/","manual_academic_review_v1"
"META_PRIVACY_C003","META_PRIVACY","Privacy controls in Meta products","Para nós, é importante que você saiba como controlar sua privacidade. Por isso, também mostramos onde gerenciar suas informações nas configurações dos Produtos da Meta que você usa.","user_rights","medium","Art. 18","official_selected_excerpt","data/corpus/meta-privacy","META_PRIVACY_E003","https://www.facebook.com/privacy/policy/","manual_academic_review_v1"
"INSTAGRAM_TERMS_C001","INSTAGRAM_TERMS","Scope of the Instagram service","The Service includes all of the Instagram products, features, applications, services, technologies, and software that we provide to advance Instagram's mission.","purpose_use","medium","Art. 6º, I; Art. 9º","official_selected_excerpt","data/corpus/instagram-terms","INSTAGRAM_TERMS_E001","https://www.instagram.com/legal/terms/","manual_academic_review_v1"
"INSTAGRAM_TERMS_C002","INSTAGRAM_TERMS","Instagram personalization systems","We build systems that try to understand who and what you and others care about, and use that information to help you create, find, join and share in experiences that matter to you.","purpose_use","high","Art. 9º; Art. 20","official_selected_excerpt","data/corpus/instagram-terms","INSTAGRAM_TERMS_E002","https://www.instagram.com/legal/terms/","manual_academic_review_v1"
"INSTAGRAM_TERMS_C003","INSTAGRAM_TERMS","Sponsored content permission","You give us permission to show your username, profile picture, and information about your actions or relationships next to or in connection with accounts, ads, offers, and other sponsored content.","sharing_third_parties","high","Art. 18, VII","official_selected_excerpt","data/corpus/instagram-terms","INSTAGRAM_TERMS_E003","https://www.instagram.com/legal/terms/","manual_academic_review_v1"
"INSTAGRAM_TERMS_C004","INSTAGRAM_TERMS","Deletion and backup timing","When you request to delete content or your account, the deletion process will automatically begin no more than 30 days after your request. It may take up to 90 days to delete content after the deletion process begins.","retention_storage","high","Art. 15; Art. 16; Art. 18, VI","official_selected_excerpt","data/corpus/instagram-terms","INSTAGRAM_TERMS_E004","https://www.instagram.com/legal/terms/","manual_academic_review_v1"
"LGPD_EXCERPTS_C001","LGPD_EXCERPTS","Definitions of personal data and data subject","Art. 5º Para os fins desta Lei, considera-se: I - dado pessoal: informação relacionada a pessoa natural identificada ou identificável; V - titular: pessoa natural a quem se referem os dados pessoais que são objeto de tratamento.","data_collection","high","Art. 5º, I; Art. 5º, V","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E001","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
"LGPD_EXCERPTS_C002","LGPD_EXCERPTS","Principles of purpose and transparency","Art. 6º As atividades de tratamento de dados pessoais deverão observar a boa-fé e os seguintes princípios: I - finalidade; VI - transparência.","purpose_use","high","Art. 6º, I; Art. 6º, VI","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E002","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
"LGPD_EXCERPTS_C003","LGPD_EXCERPTS","Termination and deletion of processing","Art. 15. O término do tratamento de dados pessoais ocorrerá quando a finalidade for alcançada ou os dados deixarem de ser necessários. Art. 16. Os dados pessoais serão eliminados após o término de seu tratamento.","retention_storage","high","Art. 15; Art. 16","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E003","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
"LGPD_EXCERPTS_C004","LGPD_EXCERPTS","Data subject rights","Art. 18. O titular dos dados pessoais tem direito a obter do controlador confirmação da existência de tratamento, acesso aos dados, correção, anonimização, bloqueio ou eliminação, portabilidade e informação sobre compartilhamento.","user_rights","high","Art. 18","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E004","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
"LGPD_EXCERPTS_C005","LGPD_EXCERPTS","Security measures","Art. 46. Os agentes de tratamento devem adotar medidas de segurança, técnicas e administrativas aptas a proteger os dados pessoais de acessos não autorizados.","security_incidents","high","Art. 46","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E005","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
"LGPD_EXCERPTS_C006","LGPD_EXCERPTS","Security incident communication","Art. 48. O controlador deverá comunicar à autoridade nacional e ao titular a ocorrência de incidente de segurança que possa acarretar risco ou dano relevante aos titulares.","security_incidents","high","Art. 48","official_selected_excerpt","data/corpus/lgpd-excerpts","LGPD_E006","https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm","manual_academic_review_v1"
